OBJECTID,HVR_RD_TRAIN_REF1,HVR_RD_TRAIN_REF1_COMM,RD_MANAGER,SUBJECT_PREF_RDNAME,LRS_RMACLASS,LOCALITIES,Shape_Length
112,Approved,No Conditions Apply,MILDURA,LEWIS STREET,Municipal Road,COWANGIE,304.407104715205
113,Approved,No Conditions Apply,MILDURA,LOCK 9 ROAD ,Municipal Road,CULLULLERAINE,2863.3048863146
114,Approved,No Conditions Apply,MILDURA,LOVERIDGE STREET,Municipal Road,OUYEN,350.224047145595
115,Approved,No Conditions Apply,MILDURA,MALKIN AVENUE,Municipal Road,UNDERBOOL,185.538888348591
116,Approved,No Conditions Apply,MILDURA,MALKIN AVENUE ,Municipal Road,UNDERBOOL,358.262943287059
117,Approved,No Conditions Apply,MILDURA,MAMENGOROOCK ROAD ,Municipal Road,UNDERBOOL,482.703567585937
118,Approved,No Conditions Apply,MILDURA,MARSHALL ROAD ,Municipal Road,OUYEN,2095.81571200927
119,Approved,No Conditions Apply,MILDURA,MARTIN AVENUE,Municipal Road,OUYEN,309.033529201334
120,Approved,No Conditions Apply,MILDURA,MATHESON STREET,Municipal Road,OUYEN,496.492855681411
121,Approved,No Conditions Apply,MILDURA,MCDONALD ROAD,Municipal Road,BOINKA,205.458307878828
122,Approved,No Conditions Apply,MILDURA,MCERVALE STREET ,Municipal Road,MITTYACK,623.584042824211
123,Approved,No Conditions Apply,MILDURA,MCGAFFIN ROAD ,Municipal Road,MERINGUR,201.591583040554
124,Approved,No Conditions Apply,MILDURA,MERCER STREET ,Municipal Road,KOORLONG,3182.03723613092
125,Approved,No Conditions Apply,MILDURA,MERIDIAN ACCESS ROAD,Municipal Road,WALPEUP,3443.45850101675
126,Approved,No Conditions Apply,MILDURA,MERIDIAN ROAD ,Municipal Road,MERBEIN WEST to MERBEIN SOUTH,8866.19507982329
127,Approved,No Conditions Apply,MILDURA,MERIDIAN ROAD ,Municipal Road,MERBEIN WEST to YELTA,6447.19059439257
128,Approved,No Conditions Apply,MILDURA,MERIDIAN ROAD ,Municipal Road,WALPEUP,6365.07716515855
129,Approved,No Conditions Apply,MILDURA,MERINGUR-RED CLIFFS ROAD,Municipal Road,MERINGUR,16996.2351905769
130,Approved,No Conditions Apply,MILDURA,MERINGUR NORTH ROAD,Municipal Road,MERINGUR,14836.8218607986
131,Approved,No Conditions Apply,MILDURA,MITCHELL STREET,Municipal Road,OUYEN,857.66181651057
132,Approved,No Conditions Apply,MILDURA,MONAGHAN ROAD ,Municipal Road,OUYEN,159.835800622531
133,Approved,No Conditions Apply,MILDURA,MONASH AVENUE,Municipal Road,UNDERBOOL,1366.3640132167
134,Approved,No Conditions Apply,MILDURA,MORNING RISE ,Municipal Road,KOORLONG,131.412115778419
135,Approved,No Conditions Apply,MILDURA,MOSSOP STREET ,Municipal Road,UNDERBOOL,402.049342814233
136,Approved,No Conditions Apply,MILDURA,MULLROO DRIVE,Municipal Road,WERRIMULL,351.47489787868
137,Approved,No Conditions Apply,MILDURA,MURRAYVILLE-NHILL ROAD,Municipal Road,MURRAYVILLE,619.207878852248
138,Approved,No Conditions Apply,MILDURA,MURRAYVILLE-NHILL ROAD ,Municipal Road,MURRAYVILLE,7081.83726503235
139,Approved,No Conditions Apply,MILDURA,MURRAYVILLE NORTH ROAD,Municipal Road,MURRAYVILLE,341.641597857791
140,Approved,No Conditions Apply,MILDURA,MURRAYVILLE NORTH ROAD ,Municipal Road,MURRAYVILLE,10838.2136412099
141,Approved,No Conditions Apply,MILDURA,NGALLO ROAD,Municipal Road,MURRAYVILLE,74.9376551313162
142,Approved,No Conditions Apply,MILDURA,NIHILL STREET ,Municipal Road,OUYEN,638.963622056512
143,Approved,No Conditions Apply,MILDURA,NORTH WEST ROAD,Municipal Road,OUYEN,728.681313034143
144,Approved,No Conditions Apply,MILDURA,NORTH WEST ROAD ,Municipal Road,OUYEN,11587.0764819798
145,Approved,No Conditions Apply,MILDURA,NYANG SOUTH ROAD ,Municipal Road,TORRITA,3263.99728366961
146,Approved,No Conditions Apply,MILDURA,OKE STREET,Municipal Road,OUYEN,770.997709771718
147,Approved,No Conditions Apply,MILDURA,OLD KIA ROAD,Municipal Road,OUYEN,15324.9655895661
148,Approved,No Conditions Apply,MILDURA,OUYEN-PATCHEWOLLOCK ROAD,Municipal Road,OUYEN to PATCHEWOLLOCK,33300.6763900419
149,Approved,No Conditions Apply,MILDURA,OWEN ROAD,Municipal Road,MERINGUR,111.991773638027
150,Approved,No Conditions Apply,MILDURA,PANITYA NORTH ROAD ,Municipal Road,PANITYA,3050.74097237462
151,Approved,No Conditions Apply,MILDURA,PARALLEL ROAD ,Municipal Road,OUYEN,3379.6504013758
152,Approved,No Conditions Apply,MILDURA,PATCHEWOLLOCK-UNDERBOOL ROAD,Municipal Road,UNDERBOOL,599.162784124903
153,Approved,No Conditions Apply,MILDURA,PENDLEBURY ROAD ,Municipal Road,WALPEUP,184.070675479865
154,Approved,No Conditions Apply,MILDURA,PICKERING STREET,Municipal Road,OUYEN,623.567551268294
155,Approved,No Conditions Apply,MILDURA,PIRRO ROAD,Municipal Road,TEMPY,13554.4342332883
156,Approved,No Conditions Apply,MILDURA,POLE ROAD ,Municipal Road,TORRITA,2013.17350382399
157,Approved,No Conditions Apply,MILDURA,POOLE STREET,Municipal Road,MURRAYVILLE,1394.5444625412
158,Approved,No Conditions Apply,MILDURA,RAILWAY TERRACE,Municipal Road,OUYEN,419.251160868621
159,Approved,No Conditions Apply,MILDURA,RECREATION ROAD,Municipal Road,MURRAYVILLE,869.759305366395
160,Approved,No Conditions Apply,MILDURA,REED STREET,Municipal Road,MURRAYVILLE,1071.33041152232
161,Approved,No Conditions Apply,MILDURA,RICHARDSON STREET ,Municipal Road,WALPEUP,800.478545846442
162,Approved,No Conditions Apply,MILDURA,RITCHIE STREET,Municipal Road,OUYEN,1418.90047754499
163,Approved,No Conditions Apply,MILDURA,ROWE STREET,Municipal Road,OUYEN,1912.69074780043
164,Approved,No Conditions Apply,MILDURA,ROWE STREET ,Municipal Road,OUYEN,78.9835838437525
165,Approved,No Conditions Apply,MILDURA,RUDDS ROAD,Municipal Road,IRAAK,162.273865602026
166,Approved,No Conditions Apply,MILDURA,SCOTT STREET ,Municipal Road,OUYEN,1412.79145598681
167,Approved,No Conditions Apply,MILDURA,SCULTHORPE ROAD,Municipal Road,NANGILOC to COLIGNAN,6447.52136266442
168,Approved,No Conditions Apply,MILDURA,SHADDOCK COURT,Municipal Road,OUYEN,325.153257758459
169,Approved,No Conditions Apply,MILDURA,SHARROCK STREET ,Municipal Road,MURRAYVILLE,915.095418095925
170,Approved,No Conditions Apply,MILDURA,SOUTH STREET ,Municipal Road,UNDERBOOL,1047.97166311548
171,Approved,No Conditions Apply,MILDURA,SOUTH WEST ANGLE ROAD,Municipal Road,CARWARP,95.3590228546121
172,Approved,No Conditions Apply,MILDURA,STONEHOUSE COURT,Municipal Road,KOORLONG,1554.68033876177
173,Approved,No Conditions Apply,MILDURA,SWANN STREET ,Municipal Road,OUYEN,156.208883612877
174,Approved,No Conditions Apply,MILDURA,TAGGERT ROAD,Municipal Road,MERINGUR,188.22323528997
175,Approved,No Conditions Apply,MILDURA,THORNE STREET,Municipal Road,OUYEN,422.365579451689
176,Approved,No Conditions Apply,MILDURA,TREVISO WAY ,Municipal Road,RED CLIFFS to CARWARP,2926.35463561691
177,Approved,No Conditions Apply,MILDURA,TULLY ROAD ,Municipal Road,MURRAYVILLE,165.79696273172
178,Approved,No Conditions Apply,MILDURA,TWENTY SECOND STREET ,Municipal Road,KOORLONG to IRYMPLE,396.369471668847
179,Approved,No Conditions Apply,MILDURA,TWENTY THIRD STREET,Municipal Road,CARDROSS,780.83956703841
180,Approved,No Conditions Apply,MILDURA,UNDERBOOL-PATCHEWOLLOCK ROAD ,Municipal Road,UNDERBOOL,3897.26059953803
181,Approved,No Conditions Apply,MILDURA,UNDERBOOL SOUTH ROAD,Municipal Road,UNDERBOOL,293.381888626181
182,Approved,No Conditions Apply,MILDURA,UNDERBOOL SOUTH ROAD ,Municipal Road,UNDERBOOL,779.033070861748
183,Approved,No Conditions Apply,MILDURA,VINE COURT,Municipal Road,OUYEN,95.8617652529448
184,Approved,No Conditions Apply,MILDURA,WALSH LANEWAY ,Municipal Road,OUYEN,234.405734138482
185,Approved,No Conditions Apply,MILDURA,WARD ROAD,Municipal Road,CARWARP,1033.07282390938
186,Approved,No Conditions Apply,MILDURA,WEIR STREET ,Municipal Road,OUYEN,466.295548434451
187,Approved,No Conditions Apply,MILDURA,WERRIMULL NORTH ROAD,Municipal Road,CULLULLERAINE,197.164255086727
188,Approved,No Conditions Apply,MILDURA,WERRIMULL NORTH ROAD,Municipal Road,CULLULLERAINE to WERRIMULL,14668.1142168793
189,Approved,No Conditions Apply,MILDURA,WERRIMULL NORTH ROAD,Municipal Road,WERRIMULL,99.1425781729249
190,Approved,No Conditions Apply,MILDURA,WESTH STREET ,Municipal Road,UNDERBOOL,178.850922833109
191,Approved,No Conditions Apply,MILDURA,WILGA ROAD ,Municipal Road,RED CLIFFS,2478.73046012805
192,Approved,No Conditions Apply,MILDURA,WILLIAMS STREET,Municipal Road,OUYEN,624.396870026714
193,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,BIRKINS ROAD,Municipal Road,CARWARP to IRAAK,839.100866105911
194,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,KEILLOR LANE ,Municipal Road,CARWARP,281.894494594051
195,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,NOONAN LANE ,Municipal Road,CARWARP,603.372248935086
196,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,NORTH WEST ANGLE ROAD,Municipal Road,CARWARP,848.260583769753
197,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,OLD SCHOOL ROAD ,Municipal Road,CARWARP,450.475118849742
198,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,REILLY LANE,Municipal Road,CARWARP,248.143019479988
199,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,RUDDS ROAD,Municipal Road,IRAAK,1393.76481653873
200,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,UNNAMED,Municipal Road,CARWARP,2742.35390957568
201,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,UNNAMED,Municipal Road,CULLULLERAINE,407.663224953808
202,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,DELWP,UNNAMED,Municipal Road,WERRIMULL,64.3370387647824
203,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,,Unknown,BOINKA,1386.62004193737
204,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,AFRICAN ALLEY,Municipal Road,PANITYA,3422.46605128607
205,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,AIKMAN ROAD,Municipal Road,UNDERBOOL to TORRITA,12247.7949352372
206,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ALLAN ROAD ,Municipal Road,PANITYA,4832.37288929406
207,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,AMOS LANE,Municipal Road,WARGAN to MERRINEE,3477.86086602946
208,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,AMOS LANE ,Municipal Road,WARGAN,8986.58358092559
209,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ANDERSON ROAD,Municipal Road,LINGA to UNDERBOOL,8109.84377438233
210,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ANDERSON ROAD,Municipal Road,OUYEN,11140.8269326391
211,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ARBUCKLE ROAD,Municipal Road,OUYEN,7665.63032887214
212,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ARNEY LANE,Municipal Road,MERRINEE,3583.10456724882
213,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ARNEY LANE,Municipal Road,WERRIMULL to MERRINEE,40752.2705659587
214,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ARNOLD STREET,Municipal Road,OUYEN,561.6735345078
215,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ARTESIAN BORE ROAD,Municipal Road,,9020.97834868103
216,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,AUSTIN ROAD,Municipal Road,CARWARP,6602.56969164094
217,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,B-SUB ROAD,Municipal Road,WERRIMULL,11381.6195645054
218,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BAHRS LANE,Municipal Road,MERINGUR,6034.80745216692
219,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BAILEY ROAD,Municipal Road,MERINGUR to WERRIMULL,8047.26274664055
220,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BAILEY ROAD,Municipal Road,TORRITA to WALPEUP,11308.9881809968
221,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BAKER ROAD,Municipal Road,OUYEN,7869.31885936166
222,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BAKER ROAD,Municipal Road,WERRIMULL,11139.0553083043
223,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BAMBILL NORTH ROAD,Municipal Road,NEDS CORNER to WERRIMULL,17667.9638925389
224,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BAMBILL SOUTH ROAD,Municipal Road,WERRIMULL to MURRAY-SUNSET,18148.0811758641
225,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BARING NORTH ROAD,Municipal Road,PATCHEWOLLOCK,14853.7552379812
226,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BARING SOUTH ROAD,Municipal Road,PATCHEWOLLOCK,7123.71948579186
227,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BARKO ROAD,Municipal Road,IRAAK,3787.47686894711
228,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BARNES ROAD,Municipal Road,OUYEN,7375.86058878874
229,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BEER ROAD,Municipal Road,COWANGIE to BIG DESERT,14877.4817087474
230,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BEER ROAD,Municipal Road,WERRIMULL,11315.2986749378
231,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BELAR ROAD,Municipal Road,IRAAK,989.782577073776
232,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BELL ROAD,Municipal Road,WALPEUP,4892.02551916635
233,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BELLBIRD BORE ROAD,Municipal Road,MURRAY-SUNSET to CARINA,13854.5673431391
234,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BELLBIRD BORE ROAD,Municipal Road,PANITYA,6399.14900334296
235,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BENETOOK AVENUE ,Municipal Road,KOORLONG to CARWARP,4558.97262279318
236,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BERLIN ROAD,Municipal Road,PANITYA,2259.5753189932
237,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BERRIBEE HOMESTEAD TRACK,Municipal Road,LINDSAY POINT,3820.38647422178
238,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BERRYS ROAD,Municipal Road,WERRIMULL to MURRAY-SUNSET,10989.4002395298
239,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BERTALLI ROAD,Municipal Road,UNDERBOOL,4141.81421001876
240,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BIRKINS ROAD,Municipal Road,CARWARP to IRAAK,11970.1809663864
241,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BLACK JACK ROAD,Municipal Road,MERINGUR,8680.05029488476
242,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BLACK LANE,Municipal Road,WERRIMULL,3480.97597066259
243,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BLAKE ROAD,Municipal Road,IRAAK,1423.51347573725
244,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOETTCHER LANE,Municipal Road,MURRAYVILLE,81.9882840627211
245,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOINKA SOUTH ROAD ,Municipal Road,BOINKA,8816.072918613
246,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOLAND ROAD,Municipal Road,KULWIN,11399.8345524654
247,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOND CROSSING,Municipal Road,BOINKA,1161.64636990401
248,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BONICA ROAD,Municipal Road,MURRAY-SUNSET to OUYEN,14876.3443564485
249,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOOLUNGAL ROAD,Municipal Road,KULWIN,6777.88002458971
250,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOONOONAR WEST ROAD,Municipal Road,CARWARP,7687.32270988275
251,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BORDER ROAD,Municipal Road,,8215.19736191432
252,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BORDER ROAD,Municipal Road,PANITYA,24485.4866815316
253,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BORDER TRACK,Municipal Road,BIG DESERT,106.250628784895
254,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOTHES ROAD,Municipal Road,WERRIMULL,14110.9413396178
255,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOULKA ROAD,Municipal Road,OUYEN,11245.306570212
256,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOULTON LANE,Municipal Road,WERRIMULL,2488.67065618661
257,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOUNDARY ROAD,Municipal Road,NANDALY to PIER MILAN,15880.3287540888
258,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BOX FLAT ROAD,Municipal Road,OUYEN,5105.62603253683
259,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRAUN ROAD,Municipal Road,MERINGUR,7484.96551205296
260,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRAUN ROAD,Municipal Road,PANITYA,5741.42866094139
261,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRIDGE ROAD,Municipal Road,PANITYA,3.23536847328606
262,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRIDGE ROAD,Municipal Road,PANITYA to CARINA,17489.1174117376
263,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRIGGS LANE,Municipal Road,COLIGNAN,575.283356170998
264,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRIGHTONS TANK ROAD,Municipal Road,CARWARP,9721.27054572621
265,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRIGHTONS TANK TRACK,Municipal Road,CARWARP,53.5980018087228
266,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRITT STREET ,Municipal Road,OUYEN,27.6078660377952
267,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRONZEWING EAST ROAD,Municipal Road,OUYEN,8068.67261107029
268,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRONZEWING WEST ROAD,Municipal Road,OUYEN,3613.11677764554
269,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BROWN LANE,Municipal Road,MURRAYVILLE,357.142856149277
270,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BROWN ROAD,Municipal Road,LINGA to BOINKA,5482.01558992239
271,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BROWNS ROAD,Municipal Road,COLIGNAN,115.912643458027
272,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BRYANS ROAD,Municipal Road,PATCHEWOLLOCK,1121.57181448785
273,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BULL LANE,Municipal Road,CARWARP,4092.41813788547
274,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BUNSTUN ROAD,Municipal Road,BOINKA to LINGA,9502.87021170986
275,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BURNELL ROAD,Municipal Road,HATTAH to OUYEN,14290.1553797972
276,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BURSTALL ROAD,Municipal Road,LINGA to UNDERBOOL,11233.5539062342
277,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BURTON LANEWAY,Municipal Road,OUYEN,297.779520815836
278,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BURZACOTT LANE,Municipal Road,MURRAYVILLE,139.138603261829
279,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BUTCH ROAD,Municipal Road,TUTYE,3764.65888301479
280,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,BYRNE LANE,Municipal Road,WALPEUP,2260.47109389763
281,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CACTUS BORE TRACK,Municipal Road,MURRAYVILLE,1560.28832023756
282,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CADWALLADER ROAD,Municipal Road,KULWIN,8679.23131933454
283,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CAIRNS ROAD,Municipal Road,OUYEN to MITTYACK,6150.86196523748
284,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CALAMITY TANK ROAD,Municipal Road,OUYEN,8839.62879679161
285,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CALDOW ROAD,Municipal Road,OUYEN,4530.93846565622
286,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CALLAHAN ROAD,Municipal Road,WERRIMULL,3944.76780748703
287,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CAMERON ROAD,Municipal Road,MERINGUR,7473.21367903497
288,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CAMERONS ROAD,Municipal Road,HATTAH,2468.43164117053
289,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CAMPBELL ROAD,Municipal Road,UNDERBOOL,7623.35021570685
290,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CANNY LANE,Municipal Road,BOINKA,5538.50425911672
291,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CARINA NORTH ROAD,Municipal Road,CARINA,22429.1545961891
292,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CARINA SOUTH ROAD,Municipal Road,CARINA,14240.783462304
293,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CARROLL ROAD,Municipal Road,OUYEN to WALPEUP,3144.10914844896
294,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CARTER ROAD,Municipal Road,WERRIMULL to MERRINEE,11501.3786702186
295,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CARWARP ROAD ,Municipal Road,WERRIMULL to CARWARP,63668.3342644672
296,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CARWARP SOUTH WEST ROAD,Municipal Road,,9445.85578713458
297,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CASSIDY ROAD,Municipal Road,OUYEN,7720.28755658246
298,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CASTLE CROSSING ROAD ,Municipal Road,CARWARP to COLIGNAN,21901.5358163671
299,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CASTLE LANEWAY,Municipal Road,OUYEN,380.803694744087
300,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CEMETERY EAST ROAD,Municipal Road,MURRAYVILLE,1960.28636465832
301,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CEMETERY ROAD,Municipal Road,COWANGIE,7220.89657641074
302,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CEMETERY ROAD,Municipal Road,UNDERBOOL,3009.37581923887
303,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CEMETERY ROAD ,Municipal Road,MURRAYVILLE,1553.32937229474
304,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CEMETERY WEST ROAD,Municipal Road,MURRAYVILLE,2165.58874330891
305,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CHAPLIN ROAD,Municipal Road,,7887.44499061462
306,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CHAPLIN ROAD,Municipal Road,TUTYE,3559.58904095598
307,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CHAPLIN ROAD ,Municipal Road,TUTYE,1454.95304203643
308,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CHAPMAN ROAD,Municipal Road,OUYEN,7947.53714783307
309,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CHARLIES ROAD,Municipal Road,MERINGUR,11294.4251407146
310,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CHATTERTON ROAD,Municipal Road,COWANGIE,3544.24706895815
311,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CHAVES PLAIN ROAD,Municipal Road,LINGA to UNDERBOOL,8655.86622917686
312,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CHEESEMAN ROAD,Municipal Road,TORRITA to WALPEUP,12114.3602135591
313,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CHRISTIE LANE,Municipal Road,KULWIN,1371.36226158449
314,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CLARK ROAD,Municipal Road,KULWIN,7654.40133462377
315,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CLARK ROAD,Municipal Road,UNDERBOOL,5728.60014768973
316,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CLEARY ROAD,Municipal Road,MERRINEE,11727.8660769828
317,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CLEARY ROAD,Municipal Road,MERRINEE to CARWARP,39898.0305682293
318,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CLEARY ROAD,Municipal Road,WERRIMULL to MERRINEE,11566.7965216521
319,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COCAMBA ROAD,Municipal Road,OUYEN to MANANGATANG,44539.6131525801
320,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COLEMAN ROAD,Municipal Road,OUYEN,2105.2261364882
321,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COLLINS ROAD,Municipal Road,TEMPY,2185.21078248521
