OBJECTID,HVR_RD_TRAIN_REF1,HVR_RD_TRAIN_REF1_COMM,RD_MANAGER,SUBJECT_PREF_RDNAME,LRS_RMACLASS,LOCALITIES,Shape_Length
828,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WESTON ROAD,Municipal Road,OUYEN,5846.5680578951
829,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WHEELER ROAD,Municipal Road,MERRINEE,8390.76507974564
830,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WHITE ROAD,Municipal Road,MITTYACK,126.809387268337
831,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WHITE ROAD,Municipal Road,MITTYACK to GERAHMIN,6680.95215374895
832,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WHITECROSS ROAD,Municipal Road,MITTYACK,4751.24878713705
833,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WHITTEMORE ROAD,Municipal Road,KULWIN,6255.19833205613
834,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WIGHTS LANE,Municipal Road,MERINGUR,7787.98068037706
835,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WILGA ROAD,Municipal Road,RED CLIFFS,3094.30173542831
836,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WILGA ROAD ,Municipal Road,CARDROSS to RED CLIFFS,6417.34760191796
837,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WILLA WEST,Municipal Road,PATCHEWOLLOCK,5375.67549319625
838,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WILLERSDORF LANE,Municipal Road,MURRAYVILLE,103.14433517788
839,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WILLIAMS ROAD,Municipal Road,PATCHEWOLLOCK,3731.99590976388
840,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WILLSMORE ROAD ,Municipal Road,LINGA,16326.4036137693
841,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WILSON LANE,Municipal Road,MURRAYVILLE,164.828783057925
842,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WILTSHIRE LANE,Municipal Road,MURRAYVILLE,305.664712150337
843,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WIRRENGREN PLAINS TRACK,Municipal Road,BIG DESERT,7331.46330020502
844,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WISNESKE ROAD,Municipal Road,LINGA,3483.26156303369
845,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WOOD ROAD,Municipal Road,KOORLONG,96.1677033047656
846,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WOOD ROAD,Municipal Road,KOORLONG to CARDROSS,11558.8781192882
